Price,Shaft_Diameter,Rated_torque,Max_Torque_Rating,Thermal_Rating,Actual_Ratio,Max_Input_Power,Actual_Speed_Rpm
17710.0,24.89,2044.58,2925.45,7.54,671.01,24.3,65.87
17760.0,24.91,2052.49,2936.66,7.57,673.67,24.39,66.13
17810.0,24.94,2060.4,2947.86,7.6,676.33,24.49,66.39
17850.0,24.96,2068.31,2959.07,7.62,678.99,24.59,66.65
17900.0,24.99,2076.21,2970.28,7.65,681.65,24.68,66.92
17950.0,25.01,2084.12,2981.49,7.68,684.31,24.78,67.18
17990.0,25.04,2092.03,2992.69,7.7,686.97,24.88,67.44
18040.0,25.06,2099.94,3003.9,7.73,689.63,24.97,67.7
18090.0,25.09,2107.85,3015.11,7.76,692.29,25.07,67.96
18130.0,25.11,2115.75,3026.32,7.78,694.95,25.17,68.23
18180.0,25.14,2123.66,3037.53,7.81,697.61,25.26,68.49
18230.0,25.16,2131.57,3048.73,7.84,700.27,25.36,68.75
18280.0,25.19,2139.48,3059.94,7.86,702.93,25.46,69.01
18320.0,25.21,2147.39,3071.15,7.89,705.6,25.55,69.27
18370.0,25.24,2155.29,3082.36,7.92,708.26,25.65,69.53
18420.0,25.26,2163.2,3093.56,7.94,710.92,25.75,69.8
18460.0,25.29,2171.11,3104.77,7.97,713.58,25.84,70.06
18510.0,25.31,2179.02,3115.98,8.0,716.24,25.94,70.32
18560.0,25.34,2186.93,3127.19,8.02,718.9,26.04,70.58
18600.0,25.36,2194.83,3138.39,8.05,721.56,26.13,70.84
18650.0,25.38,2202.74,3149.6,8.08,724.22,26.23,71.11
18700.0,25.41,2210.65,3160.81,8.1,726.88,26.33,71.37
18740.0,25.43,2218.56,3172.02,8.13,729.54,26.43,71.63
18790.0,25.46,2226.47,3183.22,8.16,732.2,26.52,71.89
18840.0,25.48,2234.37,3194.43,8.18,734.86,26.62,72.15
18890.0,25.51,2242.28,3205.64,8.21,737.52,26.72,72.42
18930.0,25.53,2250.19,3216.85,8.24,740.18,26.81,72.68
18980.0,25.56,2258.1,3228.06,8.26,742.85,26.91,72.94
19030.0,25.58,2266.01,3239.26,8.29,745.51,27.01,73.2
19070.0,25.61,2273.92,3250.47,8.32,748.17,27.1,73.46
19120.0,25.63,2281.82,3261.68,8.34,750.83,27.2,73.73
19170.0,25.66,2289.73,3272.89,8.37,753.49,27.3,73.99
19210.0,25.68,2297.64,3284.09,8.4,756.15,27.39,74.25
19260.0,25.71,2305.55,3295.3,8.42,758.81,27.49,74.51
19310.0,25.73,2313.46,3306.51,8.45,761.47,27.59,74.77
19350.0,25.76,2321.36,3317.72,8.48,764.13,27.68,75.04
19400.0,25.78,2329.27,3328.92,8.5,766.79,27.78,75.3
19450.0,25.81,2337.18,3340.13,8.53,769.45,27.88,75.56
19500.0,25.83,2345.09,3351.34,8.56,772.11,27.97,75.82
19540.0,25.86,2353.0,3362.55,8.58,774.77,28.07,76.08
19590.0,25.88,2360.9,3373.75,8.61,777.43,28.17,76.35
19640.0,25.91,2368.81,3384.96,8.64,780.09,28.26,76.61
19680.0,25.93,2376.72,3396.17,8.66,782.76,28.36,76.87
19730.0,25.96,2384.63,3407.38,8.69,785.42,28.46,77.13
19780.0,25.98,2392.54,3418.59,8.72,788.08,28.55,77.39
19820.0,26.01,2400.44,3429.79,8.74,790.74,28.65,77.65
19870.0,26.03,2408.35,3441.0,8.77,793.4,28.75,77.92
19920.0,26.05,2416.26,3452.21,8.8,796.06,28.84,78.18
19970.0,26.08,2424.17,3463.42,8.82,798.72,28.94,78.44
20010.0,26.1,2432.08,3474.62,8.85,801.38,29.04,78.7
20060.0,26.13,2439.98,3485.83,8.88,804.04,29.13,78.96
20110.0,26.15,2447.89,3497.04,8.9,806.7,29.23,79.23
20150.0,26.18,2455.8,3508.25,8.93,809.36,29.33,79.49
20200.0,26.2,2463.71,3519.45,8.96,812.02,29.42,79.75
20250.0,26.23,2471.62,3530.66,8.98,814.68,29.52,80.01
20290.0,26.25,2479.52,3541.87,9.01,817.34,29.62,80.27
20340.0,26.28,2487.43,3553.08,9.04,820.0,29.71,80.54
20390.0,26.3,2495.34,3564.28,9.06,822.67,29.81,80.8
20430.0,26.33,2503.25,3575.49,9.09,825.33,29.91,81.06
20480.0,26.35,2511.16,3586.7,9.12,827.99,30.01,81.32
20530.0,26.38,2519.07,3597.91,9.14,830.65,30.1,81.58
20580.0,26.4,2526.97,3609.12,9.17,833.31,30.2,81.85
20620.0,26.43,2534.88,3620.32,9.2,835.97,30.3,82.11
20670.0,26.45,2542.79,3631.53,9.22,838.63,30.39,82.37
20720.0,26.48,2550.7,3642.74,9.25,841.29,30.49,82.63
20760.0,26.5,2558.61,3653.95,9.28,843.95,30.59,82.89
20810.0,26.53,2566.51,3665.15,9.3,846.61,30.68,83.16
20860.0,26.55,2574.42,3676.36,9.33,849.27,30.78,83.42
20900.0,26.58,2582.33,3687.57,9.36,851.93,30.88,83.68
20950.0,26.6,2590.24,3698.78,9.38,854.59,30.97,83.94
21000.0,26.63,2598.15,3709.98,9.41,857.25,31.07,84.2
21050.0,26.65,2606.05,3721.19,9.44,859.91,31.17,84.46
21090.0,26.67,2613.96,3732.4,9.46,862.58,31.26,84.73
21140.0,26.7,2621.87,3743.61,9.49,865.24,31.36,84.99
21190.0,26.72,2629.78,3754.81,9.52,867.9,31.46,85.25
21230.0,26.75,2637.69,3766.02,9.54,870.56,31.55,85.51
21280.0,26.77,2645.59,3777.23,9.57,873.22,31.65,85.77
21330.0,26.8,2653.5,3788.44,9.6,875.88,31.75,86.04
21370.0,26.82,2661.41,3799.65,9.62,878.54,31.84,86.3
21420.0,26.85,2669.32,3810.85,9.65,881.2,31.94,86.56
21470.0,26.87,2677.23,3822.06,9.68,883.86,32.04,86.82
21510.0,26.9,2685.13,3833.27,9.7,886.52,32.13,87.08
21560.0,26.92,2693.04,3844.48,9.73,889.18,32.23,87.35
21610.0,26.95,2700.95,3855.68,9.76,891.84,32.33,87.61
21660.0,26.97,2708.86,3866.89,9.78,894.5,32.42,87.87
21700.0,27.0,2716.77,3878.1,9.81,897.16,32.52,88.13
21750.0,27.02,2724.67,3889.31,9.84,899.83,32.62,88.39
21800.0,27.05,2732.58,3900.51,9.86,902.49,32.71,88.66
21840.0,27.07,2740.49,3911.72,9.89,905.15,32.81,88.92
21890.0,27.1,2748.4,3922.93,9.92,907.81,32.91,89.18
21940.0,27.12,2756.31,3934.14,9.94,910.47,33.0,89.44
21980.0,27.15,2764.22,3945.34,9.97,913.13,33.1,89.7
22030.0,27.17,2772.12,3956.55,10.0,915.79,33.2,89.97
22080.0,27.2,2780.03,3967.76,10.02,918.45,33.29,90.23
22120.0,27.22,2787.94,3978.97,10.05,921.11,33.39,90.49
22170.0,27.25,2795.85,3990.18,10.08,923.77,33.49,90.75
22220.0,27.27,2803.76,4001.38,10.1,926.43,33.59,91.01
22270.0,27.3,2811.66,4012.59,10.13,929.09,33.68,91.28
22310.0,27.32,2819.57,4023.8,10.16,931.75,33.78,91.54
22360.0,27.34,2827.48,4035.01,10.18,934.41,33.88,91.8
22410.0,27.37,2835.39,4046.21,10.21,937.07,33.97,92.06
22450.0,27.39,2843.3,4057.42,10.24,939.74,34.07,92.32
22500.0,27.42,2851.2,4068.63,10.26,942.4,34.17,92.58
22550.0,27.44,2859.11,4079.84,10.29,945.06,34.26,92.85
22590.0,27.47,2867.02,4091.04,10.32,947.72,34.36,93.11
22640.0,27.49,2874.93,4102.25,10.34,950.38,34.46,93.37
22690.0,27.52,2882.84,4113.46,10.37,953.04,34.55,93.63
22740.0,27.54,2890.74,4124.67,10.4,955.7,34.65,93.89
22780.0,27.57,2898.65,4135.87,10.42,958.36,34.75,94.16
22830.0,27.59,2906.56,4147.08,10.45,961.02,34.84,94.42
22880.0,27.62,2914.47,4158.29,10.48,963.68,34.94,94.68
22920.0,27.64,2922.38,4169.5,10.5,966.34,35.04,94.94
22970.0,27.67,2930.28,4180.71,10.53,969.0,35.13,95.2
23020.0,27.69,2938.19,4191.91,10.56,971.66,35.23,95.47
23060.0,27.72,2946.1,4203.12,10.58,974.32,35.33,95.73
23110.0,27.74,2954.01,4214.33,10.61,976.98,35.42,95.99
23160.0,27.77,2961.92,4225.54,10.64,979.65,35.52,96.25
23200.0,27.79,2969.82,4236.74,10.66,982.31,35.62,96.51
23250.0,27.82,2977.73,4247.95,10.69,984.97,35.71,96.78
23300.0,27.84,2985.64,4259.16,10.72,987.63,35.81,97.04
23350.0,27.87,2993.55,4270.37,10.74,990.29,35.91,97.3
23390.0,27.89,3001.46,4281.57,10.77,992.95,36.0,97.56
23440.0,27.92,3009.36,4292.78,10.8,995.61,36.1,97.82
23490.0,27.94,3017.27,4303.99,10.83,998.27,36.2,98.09
23530.0,27.96,3025.18,4315.2,10.85,1000.93,36.29,98.35
23580.0,27.99,3033.09,4326.4,10.88,1003.59,36.39,98.61
23630.0,28.01,3041.0,4337.61,10.91,1006.25,36.49,98.87
23670.0,28.04,3048.91,4348.82,10.93,1008.91,36.58,99.13
23720.0,28.06,3056.81,4360.03,10.96,1011.57,36.68,99.4
23770.0,28.09,3064.72,4371.24,10.99,1014.23,36.78,99.66
23820.0,28.11,3072.63,4382.44,11.01,1016.89,36.87,99.92
23860.0,28.14,3080.54,4393.65,11.04,1019.56,36.97,100.18
23910.0,28.16,3088.45,4404.86,11.07,1022.22,37.07,100.44
23960.0,28.19,3096.35,4416.07,11.09,1024.88,37.17,100.7
24000.0,28.21,3104.26,4427.27,11.12,1027.54,37.26,100.97
24050.0,28.24,3112.17,4438.48,11.15,1030.2,37.36,101.23
24100.0,28.26,3120.08,4449.69,11.17,1032.86,37.46,101.49
24140.0,28.29,3127.99,4460.9,11.2,1035.52,37.55,101.75
24190.0,28.31,3135.89,4472.1,11.23,1038.18,37.65,102.01
24240.0,28.34,3143.8,4483.31,11.25,1040.84,37.75,102.28
24280.0,28.36,3151.71,4494.52,11.28,1043.5,37.84,102.54
24330.0,28.39,3159.62,4505.73,11.31,1046.16,37.94,102.8
24380.0,28.41,3167.53,4516.93,11.33,1048.82,38.04,103.06
24430.0,28.44,3175.43,4528.14,11.36,1051.48,38.13,103.32
24470.0,28.46,3183.34,4539.35,11.39,1054.14,38.23,103.59
24520.0,28.49,3191.25,4550.56,11.41,1056.81,38.33,103.85
24570.0,28.51,3199.16,4561.77,11.44,1059.47,38.42,104.11
24610.0,28.54,3207.07,4572.97,11.47,1062.13,38.52,104.37
24660.0,28.56,3214.97,4584.18,11.49,1064.79,38.62,104.63
